"Page","Section","Content Type","English Text","Vietnamese Text","Notes"
"Home Page","SEO Metadata","Page Title","Home","Trang chủ","Browser tab title"
"Home Page","SEO Metadata","Meta Description","HealthSyncX - People-first Systems Integration Consultancy for Healthcare, Beauty Tech, and diverse industries. Expert technology integration serving Vietnam & APAC Region.","HealthSyncX - Tư vấn Tích hợp Hệ thống Lấy Con người Làm trung tâm cho Y tế, Công nghệ Làm đẹp và các ngành công nghiệp đa dạng. Tích hợp công nghệ chuyên gia phục vụ Việt Nam & Khu vực APAC.","Search engine description (150-160 chars)"
"Home Page","Main Heading (H1)","Section Heading (H2)","Main Heading (H1)","Main Heading (H1)",""
"Home Page","Main Heading (H1)","Main Heading (H1)","People-first Systems Integration Consultancy","Tư vấn tích hợp hệ thống với trọng tâm là con người",""
"Home Page","Common Challenges Our Clients Face","Section Heading (H2)","Common Challenges Our Clients Face","Những thách thức mà khách hàng thường gặp",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Disconnected Systems","Hệ thống rời rạc, thiếu kết nối",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Critical data trapped in legacy tools that don't communicate.","Dữ liệu quan trọng bị giới hạn bởi các hệ thống cũ, không thể chia sẻ qua lại.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Unclear Return on Investment","Hiệu quả đầu tư khó đo lường",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Technology investments that look good on paper but never deliver measurable returns.","Đầu tư công nghệ trông có vẻ hiệu quả nhưng lại khó chứng minh được giá trị thực tế.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Workflow Friction","Quy trình vận hành thiếu mượt mà",""
"Home Page","Common Challenges Our Clients Face","Paragraph","New systems that disrupt how people actually work.","Hệ thống mới khiến nhân viên khó thích nghi và làm gián đoạn quy trình làm việc.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Security & Compliance Risks","Rủi ro về bảo mật và tuân thủ quy định",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Mounting regulatory pressure, from international to local data rules.","Áp lực từ các quy định trong nước và quốc tế ngày càng cao.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Resistance to Change","Tâm lý ngại thay đổi công nghệ",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Teams overwhelmed by too many tools, too little training.","Nhân viên bị quá tải vì có quá nhiều công cụ nhưng lại thiếu hướng dẫn và đào tạo.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Vendor Lock-In","Phụ thuộc vào nhà cung cấp",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Locked into systems that limit flexibility and innovation.","Bị ràng buộc về hệ thống với nhà cung cấp cũ nên thiếu linh hoạt, khó đổi mới.",""
"Home Page","Who We Support","Section Heading (H2)","Who We Support","Đối tượng khách hàng của chúng tôi",""
"Home Page","Who We Support","Paragraph","Whether you're a small business taking your first steps toward digital transformation or a large enterprise managing complex multi-system environments, HealthSyncX helps you move forward with confidence.","Dù bạn là doanh nghiệp nhỏ mới bắt đầu hành trình chuyển đổi số hay tập đoàn lớn đang vận hành nhiều hệ thống phức tạp, HealthSyncX sẽ đồng hành giúp bạn tiến bước vững chắc.",""
"Home Page","Who We Support","Subsection (H3)","Small and Mid-Sized Businesses","Doanh nghiệp vừa và nhỏ",""
"Home Page","Who We Support","Paragraph","You want modern tools that simplify operations without draining budgets or disrupting daily work.","Bạn cần các công cụ hiện đại giúp đơn giản hóa quy trình vận hành mà vẫn tiết kiệm chi phí và không ảnh hưởng đến công việc hàng ngày.",""
"Home Page","Who We Support","Paragraph","HealthSyncX delivers scalable, right-sized integration — connecting your devices, data, and workflows so you can compete like a larger player while staying agile and cost-efficient.","HealthSyncX mang đến giải pháp tích hợp phù hợp với quy mô của bạn — kết nối thiết bị, dữ liệu và quy trình để doanh nghiệp vận hành linh hoạt, hiệu quả và đủ sức cạnh tranh với các đối thủ lớn hơn.",""
"Home Page","Who We Support","Subsection (H3)","Large Enterprises","Doanh nghiệp lớn",""
"Home Page","Who We Support","Paragraph","You face the opposite problems: too many systems, too much data, and teams that don't always align.","Doanh nghiệp của bạn thường gặp các vấn đề ngược lại: có quá nhiều hệ thống, dữ liệu phân tán và các bộ phận khó phối hợp đồng bộ.",""
"Home Page","Who We Support","Paragraph","We help unify legacy and modern platforms, improve interoperability across departments, and create visibility and compliance without slowing innovation.","Chúng tôi giúp đồng bộ hệ thống cũ và mới, tăng khả năng kết nối giữa các phòng ban, đảm bảo minh bạch và tuân thủ quy định mà vẫn giữ nhịp đổi mới.",""
"Home Page","Who We Support","Subsection (H3)","Industry Leaders and Innovators","Các lãnh đạo ngành và đơn vị sáng chế",""
"Home Page","Who We Support","Paragraph","If you build the technologies others depend on — from medical devices to educational platforms — HealthSyncX can be your local integration and deployment partner in Vietnam and across the Asia-Pacific.","Nếu bạn phát triển các giải pháp công nghệ mà nhiều người cần — từ thiết bị y tế đến nền tảng giáo dục — HealthSyncX là đối tác tích hợp và triển khai đáng tin cậy của bạn tại Việt Nam và khu vực Châu Á – Thái Bình Dương.",""
"Home Page","Who We Support","Paragraph","We ensure your solutions reach real-world users efficiently, securely, and at scale.","Chúng tôi giúp giải pháp của bạn được triển khai đến người dùng thực tế một cách an toàn, hiệu quả và có thể mở rộng.",""
"Home Page","Why Choose Us?","Section Heading (H2)","Why Choose Us?","Vì sao chọn HealthSyncX?",""
"Home Page","Why Choose Us?","Paragraph","Integration that Delivers Measurable Results","Giải pháp tích hợp mang lại giá trị thực, có thể đo lường",""
"Home Page","Why Choose Us?","Paragraph","At HealthSyncX, integration isn't just about connecting systems — it's about unlocking measurable value across every part of your business:","Với HealthSyncX, tích hợp không chỉ là kết nối hệ thống — mà còn để mang lại giá trị thực ở nhiều mặt cho doanh nghiệp của bạn.",""
"Home Page","Why Choose Us?","Paragraph","→ Data backed by independent industry studies across healthcare, manufacturing, education, finance, and hospitality sectors.","→ Các số liệu được chứng minh qua nghiên cứu độc lập trong các ngành y tế, sản xuất, giáo dục, tài chính và dịch vụ khách hàng.",""
"Home Page","What is People-First Systems Integration?","Section Heading (H2)","What is People-First Systems Integration?","Tích hợp hệ thống với trọng tâm là con người là gì?",""
"Home Page","What is People-First Systems Integration?","Paragraph","At HealthSyncX, we believe systems integration is more than just connecting technologies. True integration requires a holistic approach that puts people at the center of every solution.","Tại HealthSyncX, chúng tôi tin rằng tích hợp hệ thống không chỉ đơn thuần là kết nối công nghệ. Sự tích hợp thực sự đòi hỏi một cách tiếp cận toàn diện, nơi con người luôn là trọng tâm của mọi giải pháp.",""
"Home Page","What is People-First Systems Integration?","Subsection (H3)","Hardware & Devices","Phần cứng và thiết bị",""
"Home Page","What is People-First Systems Integration?","Paragraph","Medical devices, IoT sensors, equipment, and physical infrastructure","Thiết bị y tế, cảm biến IoT, máy móc và hạ tầng vật lý",""
"Home Page","What is People-First Systems Integration?","Subsection (H3)","Software & Digital Solutions","Phần mềm và giải pháp số",""
"Home Page","What is People-First Systems Integration?","Paragraph","EMR/EHR systems, PACS, management platforms, and applications","Hệ thống EMR/EHR, PACS, nền tảng quản lý và các ứng dụng hỗ trợ",""
"Home Page","What is People-First Systems Integration?","Subsection (H3)","Networks & Cybersecurity","Mạng và bảo mật",""
"Home Page","What is People-First Systems Integration?","Paragraph","Secure connectivity, data protection, and infrastructure","Kết nối an toàn, bảo vệ dữ liệu và hạ tầng mạng đáng tin cậy",""
"Home Page","What is People-First Systems Integration?","Subsection (H3)","Workflows & Processes","Quy trình và luồng công việc",""
"Home Page","What is People-First Systems Integration?","Paragraph","Optimized processes that fit organizational culture and needs","Quy trình được tối ưu để phù hợp với văn hóa và nhu cầu thực tế của tổ chức",""
"Home Page","What is People-First Systems Integration?","Subsection (H3)","People - The Heart of Integration","Con người – Trái tim của quá trình tích hợp",""
"Home Page","What is People-First Systems Integration?","Paragraph","Technology adoption readiness, comprehensive user training, ongoing support, and change management","Sự sẵn sàng cho việc áp dụng công nghệ, chương trình đào tạo toàn diện, hỗ trợ liên tục và quản lý thay đổi hiệu quả",""
"Home Page","What is People-First Systems Integration?","Subsection (H3)","Why People-First Matters","Vì sao việc lấy con người làm trọng tâm lại quan trọng?",""
"Home Page","What is People-First Systems Integration?","Paragraph","The most sophisticated technology integration will fail without considering the people who will use it.","Dù công nghệ có tiên tiến đến đâu, việc tích hợp sẽ thất bại nếu không tính đến những người trực tiếp sử dụng nó.",""
"Home Page","What is People-First Systems Integration?","Paragraph","HealthSyncX assesses user readiness, designs intuitive workflows, provides comprehensive training, and ensures ongoing support - because successful integration means successful adoption.","HealthSyncX đánh giá mức độ sẵn sàng của người dùng, thiết kế quy trình trực quan, cung cấp đào tạo toàn diện và hỗ trợ liên tục – vì chúng tôi hiểu rằng tích hợp hiệu quả chỉ xảy ra khi người dùng thật sự chấp nhận và sử dụng thành công.",""
"Home Page","Our Core Services","Section Heading (H2)","Our Core Services","Các dịch vụ chính",""
"Home Page","Our Core Services","Paragraph","People-centered consultancy services designed to help you navigate technology challenges and opportunities","Dịch vụ tư vấn lấy con người làm trung tâm, giúp doanh nghiệp giải quyết thách thức và tận dụng cơ hội công nghệ.",""
"Home Page","Our Core Services","Subsection (H3)","Holistic Systems Integration","Tích hợp hệ thống toàn diện",""
"Home Page","Our Core Services","Paragraph","Comprehensive integration planning that encompasses hardware, software, networks, workflows, AND people - ensuring adoption success through training and support.","Lập kế hoạch tích hợp toàn diện bao gồm phần cứng, phần mềm, mạng lưới, quy trình và cả con người – đảm bảo việc triển khai hiệu quả nhờ đào tạo và hỗ trợ sát sao.",""
"Home Page","Our Core Services","Link/Button","Learn More →","Tìm hiểu thêm →",""
"Home Page","Our Core Services","Subsection (H3)","Workflow Optimization","Tối ưu hóa quy trình",""
"Home Page","Our Core Services","Paragraph","Process analysis and redesign that respects organizational culture while introducing efficiency improvements. We optimize for both technology and people.","Phân tích và cải tiến quy trình dựa trên văn hóa tổ chức, mang lại hiệu quả cao hơn. Chúng tôi thực hiện tối ưu hóa cho cả công nghệ lẫn yếu tố con người.",""
"Home Page","Our Core Services","Link/Button","Learn More →","Tìm hiểu thêm →",""
"Home Page","Our Core Services","Subsection (H3)","Training & Capacity Building","Đào tạo và phát triển năng lực",""
"Home Page","Our Core Services","Paragraph","Comprehensive user training, adoption support, and capacity building to ensure your team can effectively use and maintain integrated systems.","Chương trình đào tạo người dùng toàn diện, hỗ trợ áp dụng thực tế và phát triển năng lực để đội ngũ của bạn sử dụng và vận hành hệ thống tích hợp một cách hiệu quả.",""
"Home Page","Our Core Services","Link/Button","Learn More →","Tìm hiểu thêm →",""
"Home Page","Our Core Services","Subsection (H3)","Product Development","Phát triển sản phẩm",""
"Home Page","Our Core Services","Paragraph","Partnering with healthcare innovators to transform ideas into market-ready solutions through comprehensive product development support, from concept validation to market entry.","Hợp tác với các chuyên gia đổi mới trong lĩnh vực y tế để biến ý tưởng thành sản phẩm sẵn sàng ra thị trường, với hỗ trợ trọn gói từ giai đoạn kiểm chứng ý tưởng đến thương mại hóa.",""
"Home Page","Our Core Services","Link/Button","Learn More →","Tìm hiểu thêm →",""
"Home Page","Our Core Services","Label/Badge","Focus Area","Lĩnh vực trọng điểm",""
"Home Page","Healthcare Expertise","Section Heading (H2)","Healthcare Expertise","Chuyên môn trong ngành y tế",""
"Home Page","Healthcare Expertise","Paragraph","With a background in medical imaging and healthcare technology, we bring specialized knowledge to integration challenges. Our people-first consultancy helps you navigate the complexities of medical device connectivity, patient data management, and regulatory compliance while ensuring clinical staff are prepared and supported.","Với nền tảng chuyên sâu về hình ảnh y khoa và công nghệ y tế, chúng tôi mang đến kiến thức thực tiễn để giải quyết các thách thức trong quá trình tích hợp. Cách tiếp cận “lấy con người làm trung tâm” giúp bạn xử lý tốt việc kết nối thiết bị, quản lý dữ liệu bệnh nhân và tuân thủ quy định, đồng thời bảo đảm đội ngũ y tế được hỗ trợ đầy đủ.",""
"Home Page","Healthcare Expertise","Minor Heading (H4)","Enhanced Patient Care","Nâng cao chất lượng chăm sóc bệnh nhân",""
"Home Page","Healthcare Expertise","Paragraph","Streamline operations and improve efficiency while ensuring clinical staff can focus on patient care, not technology struggles.","Đơn giản hóa quy trình vận hành và tăng hiệu quả làm việc, giúp nhân viên y tế tập trung hơn vào việc chăm sóc bệnh nhân thay vì phải loay hoay với công nghệ.",""
"Home Page","Healthcare Expertise","Minor Heading (H4)","Security & Compliance","Bảo mật và tuân thủ quy định",""
"Home Page","Healthcare Expertise","Paragraph","Ensure robust security and compliance with local and international laws, regulations, and industry standards.","Đảm bảo hệ thống luôn an toàn và tuân thủ các tiêu chuẩn, quy định của ngành ở cả trong nước và quốc tế.",""
"Home Page","Healthcare Expertise","Minor Heading (H4)","Digital Transformation","Chuyển đổi số",""
"Home Page","Healthcare Expertise","Paragraph","Accelerate digital transformation with user-centered implementation that ensures clinical staff adoption and satisfaction.","Đẩy nhanh quá trình chuyển đổi số với phương pháp triển khai lấy người dùng làm trung tâm, giúp đội ngũ y tế dễ dàng tiếp nhận và hài lòng khi sử dụng.",""
"Home Page","Industries We Serve","Section Heading (H2)","Industries We Serve","Các lĩnh vực chúng tôi phục vụ",""
"Home Page","Industries We Serve","Paragraph","Specialized healthcare expertise with proven solutions across diverse sectors","Kinh nghiệm chuyên sâu trong lĩnh vực y tế cùng các giải pháp đã được kiểm chứng ở nhiều ngành nghề khác nhau",""
"Home Page","Industries We Serve","Subsection (H3)","Healthcare","Y tế",""
"Home Page","Industries We Serve","Paragraph","Specialized medical device integration, EMR/EHR systems, and clinical workflow optimization","Tích hợp thiết bị y tế chuyên dụng, hệ thống EMR/EHR và tối ưu hóa quy trình lâm sàng",""
"Home Page","Industries We Serve","Subsection (H3)","Beauty Tech","Công nghệ làm đẹp",""
"Home Page","Industries We Serve","Paragraph","Digital transformation and quality systems for beauty and personal care clinics","Giải pháp chuyển đổi số và hệ thống quản lý chất lượng cho các phòng khám và trung tâm chăm sóc sắc đẹp",""
"Home Page","Industries We Serve","Subsection (H3)","Other Industries","Các ngành khác",""
"Home Page","Industries We Serve","Paragraph","Custom integration solutions for education, manufacturing, finance, retail, logistics, hospitality, and other diverse sectors","Giải pháp tích hợp tùy chỉnh cho các ngành giáo dục, sản xuất, tài chính, bán lẻ, cung ứng, khách sạn và nhiều lĩnh vực khác",""
"Home Page","Free 30-Minute Strategy Session","Section Heading (H2)","Free 30-Minute Strategy Session","Đăng ký 30 phút tư vấn miễn phí",""
"Home Page","Free 30-Minute Strategy Session","Paragraph","Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.","Cùng chuyên gia của chúng tôi trao đổi về những thách thức trong việc tích hợp công nghệ của bạn. Nhận phản hồi nhanh và gợi ý giải pháp thực tế – hoàn toàn miễn phí, không ràng buộc.",""
"Home Page","Free 30-Minute Strategy Session","Link/Button","Book Your Free Session","Đặt lịch tư vấn miễn phí",""
"About Us","SEO Metadata","Page Title","About Us","Về chúng tôi","Browser tab title"
"About Us","SEO Metadata","Meta Description","Learn about HealthSyncX","Tìm hiểu về tầm nhìn, sứ mệnh và câu chuyện của HealthSyncX. Xây dựng tương lai thông qua tư vấn chuyên gia về tích hợp hệ thống và hợp tác.","Search engine description (150-160 chars)"
"About Us","Our Vision","Section Heading (H2)","Our Vision","Tầm nhìn",""
"About Us","Our Vision","Paragraph","To create a world where healthcare ecosystems are seamlessly connected — where technology, data, and human collaboration work in harmony to deliver smarter, more efficient, more equitable, and compassionate care for everyone.","Xây dựng một thế giới nơi các hệ sinh thái y tế được kết nối liền mạch — nơi công nghệ, dữ liệu và con người phối hợp hài hòa để mang lại dịch vụ chăm sóc sức khỏe thông minh, hiệu quả, công bằng, và nhân văn hơn cho tất cả mọi người.",""
"About Us","Our Mission","Section Heading (H2)","Our Mission","Sứ mệnh",""
"About Us","Our Mission","Paragraph","To bridge the gaps in today's fragmented healthcare ecosystem by synchronizing technologies, systems, workflows, and people — creating connected, intelligent, and human-centered solutions that make healthcare more efficient, collaborative, and accessible across Asia-Pacific and beyond.","Kết nối các mảnh ghép rời rạc trong hệ sinh thái y tế ngày nay bằng cách đồng bộ hóa các công nghệ, hệ thống, quy trình và con người — tạo ra các giải pháp thông minh, kết nối và lấy con người làm trọng tâm, giúp việc chăm sóc sức khỏe trở nên hiệu quả, hợp tác suôn sẻ, và dễ tiếp cận hơn tại khu vực Châu Á – Thái Bình Dương và trên toàn cầu.",""
"About Us","About HealthSyncX","Section Heading (H2)","About HealthSyncX","Về HealthSyncX",""
"About Us","About HealthSyncX","Paragraph","HealthSyncX Co., Ltd was founded to bridge the gaps in today's fragmented healthcare ecosystem. We believe that true progress in healthcare begins when technology, systems, workflows, and people work in harmony — creating seamless connections that enable better decisions, stronger collaboration, and more compassionate care.","HealthSyncX được thành lập với sứ mệnh thu hẹp khoảng cách trong hệ sinh thái y tế phân mảnh hiện nay. Chúng tôi tin rằng sự tiến bộ thực sự trong y tế bắt đầu khi công nghệ, hệ thống, quy trình và con người hoạt động hài hòa với nhau — tạo sự kết nối liền mạch để giúp đưa ra những quyết định tốt hơn, tăng cường hợp tác và mang lại sự chăm sóc sức khỏe nhân văn hơn.",""
"About Us","About HealthSyncX","Paragraph","At HealthSyncX, we focus on transforming complexity into clarity. Our approach integrates engineering expertise, digital innovation, and human-centered design to help organizations align their technologies, data, and workflows. Whether you are a healthcare provider, research institution, or enterprise seeking to modernize your operations, we tailor solutions that fit your unique goals and realities.","Cùng HealthSyncX, chúng tôi giúp chuyển mọi rắc rối phức tạp sang cách giải quyết rõ ràng. Bằng cách kết hợp chuyên môn kỹ thuật, đổi mới số và tư duy thiết kế lấy con người làm trung tâm, chúng tôi giúp các tổ chức đồng bộ công nghệ, dữ liệu và quy trình vận hành. Dù bạn là bệnh viện, tổ chức nghiên cứu hay doanh nghiệp đang muốn hiện đại hóa hoạt động, HealthSyncX sẽ tùy chỉnh giải pháp phù hợp với mục tiêu và thực tế của bạn.",""
"About Us","About HealthSyncX","Paragraph","Our work spans technology integration, digital transformation, research collaboration, and professional training — always guided by the belief that innovation must serve people first. We partner with hospitals, universities, and industry innovators across Asia-Pacific to co-create sustainable and secure ecosystems that enhance quality, efficiency, and trust.","Công việc của chúng tôi bao gồm tích hợp công nghệ, chuyển đổi số, hợp tác nghiên cứu và đào tạo chuyên nghiệp — cùng niềm tin rằng sự đổi mới phải phục vụ con người trước tiên mới có thể đạt giá trị hiệu quả. Chúng tôi hợp tác cùng các bệnh viện, trường đại học và các nhà sáng tạo đổi mới trong khu vực Châu Á – Thái Bình Dương để cùng xây dựng hệ sinh thái y tế bền vững, an toàn và đáng tin cậy.",""
"About Us","About HealthSyncX","Quote","""Synchronizing technology, systems, workflows, and people — for better healthcare everywhere.""","""Đồng bộ hóa công nghệ, hệ thống, quy trình và con người — để nâng cao chăm sóc sức khỏe ở mọi nơi.""",""
"About Us","HealthSyncX's Core Values","Section Heading (H2)","HealthSyncX's Core Values","Giá trị cốt lõi của HealthSyncX",""
"About Us","HealthSyncX's Core Values","Subsection (H3)","Mission-Driven","Tập trung vào sứ mệnh",""
"About Us","HealthSyncX's Core Values","Paragraph","Dedicated to transforming operations through seamless technology integration","Cam kết nâng cao hiệu quả hoạt động thông qua tích hợp công nghệ linh hoạt và liền mạch.",""
"About Us","HealthSyncX's Core Values","Subsection (H3)","Excellence","Chất lượng xuất sắc",""
"About Us","HealthSyncX's Core Values","Paragraph","Committed to delivering the highest quality solutions and services","Nỗ lực mang đến các giải pháp và dịch vụ chất lượng cao nhất.",""
"About Us","HealthSyncX's Core Values","Subsection (H3)","Client-Focused","Khách hàng là trọng tâm",""
"About Us","HealthSyncX's Core Values","Paragraph","Building lasting partnerships through trust and collaboration","Xây dựng mối quan hệ hợp tác lâu dài dựa trên sự tin cậy và đồng hành cùng phát triển.",""
"About Us","HealthSyncX's Core Values","Subsection (H3)","Innovation","Luôn sáng tạo đổi mới",""
"About Us","HealthSyncX's Core Values","Paragraph","Leveraging proven and emerging technologies to solve complex challenges","Ứng dụng những công nghệ đã được kiểm chứng tính hiệu quả và công nghệ mới để giải quyết những thách thức phức tạp đặc thù theo chuyên ngành.",""
"About Us","Meet Our Founder","Section Heading (H2)","Meet Our Founder","Gặp gỡ người sáng lập",""
"About Us","Meet Our Founder","Subsection (H3)","Long 'Leo' Phi Dang","Đặng Phi Long (Leo)",""
"About Us","Meet Our Founder","Paragraph","Founder & CEO","Người sáng lập & CEO",""
"About Us","Meet Our Founder","Label/Badge","Oxford","Oxford",""
"About Us","Meet Our Founder","Paragraph","MSc Biomedical Engineering","Thạc sĩ Kỹ thuật Y sinh",""
"About Us","Meet Our Founder","Paragraph","University of Oxford, England","Đại học Oxford, Anh",""
"About Us","Meet Our Founder","Label/Badge","UM","UM",""
"About Us","Meet Our Founder","Paragraph","MEng Telecommunication Engineering","Thạc sĩ Kỹ thuật Viễn thông",""
"About Us","Meet Our Founder","Paragraph","University of Melbourne, Australia","Đại học Melbourne, Úc",""
"About Us","Meet Our Founder","Label/Badge","UCLA","UCLA",""
"About Us","Meet Our Founder","Paragraph","BSc Electrical Engineering","Cử nhân Kỹ thuật Điện-Điện tử",""
"About Us","Meet Our Founder","Paragraph","University of California - Los Angeles, USA","Đại học California - Los Angeles, Mỹ",""
"About Us","Meet Our Founder","Label/Badge","ASQA","ASQA",""
"About Us","Meet Our Founder","Paragraph","Nationally Certified Trainer","Giảng viên được chứng nhận quốc gia",""
"About Us","Meet Our Founder","Paragraph","Australian Skills Quality Authority (ASQA)","Cơ quan Chất lượng Kỹ năng Úc (ASQA)",""
"About Us","Meet Our Founder","Label/Badge","UIUC","UIUC",""
"About Us","Meet Our Founder","Paragraph","Strategic Leadership and Management","Chứng chỉ lãnh đạo và quản lý chiến lược",""
"About Us","Meet Our Founder","Paragraph","University of Illinois, USA","Đại học Illinois, Mỹ",""
"About Us","Meet Our Founder","Label/Badge","ICL","ICL",""
"About Us","Meet Our Founder","Paragraph","Digital Health Specialization","Chứng chỉ chuyên môn y tế số",""
"About Us","Meet Our Founder","Paragraph","Imperial College London, England","Imperial College London, Anh",""
"About Us","Meet Our Founder","Label/Badge","Stanford","Stanford",""
"About Us","Meet Our Founder","Paragraph","AI in Healthcare Specialization","Chứng chỉ chuyên môn AI cho y tế",""
"About Us","Meet Our Founder","Paragraph","Stanford University, USA","Đại học Stanford, Mỹ",""
"About Us","Meet Our Founder","Label/Badge","JHU","JHU",""
"About Us","Meet Our Founder","Paragraph","AI for Cybersecurity Specialization","Chứng chỉ chuyên môn AI cho an ninh mạng",""
"About Us","Meet Our Founder","Paragraph","Johns Hopkins University, USA","Đại học Johns Hopkins, Mỹ",""
