"Page","Row #","Content Type","English Text","Vietnamese Text"
"Home Page","SEO-1","Page Title","Home","Trang chủ"
"Home Page","SEO-2","Meta Description","HealthSyncX - People-first Systems Integration Consultancy for Healthcare, Beauty Tech, and diverse industries. Expert technology integration serving Vietnam & APAC Region.","HealthSyncX - Tư vấn Tích hợp Hệ thống Lấy Con người Làm trung tâm cho Y tế, Công nghệ Làm đẹp và các ngành công nghiệp đa dạng. Tích hợp công nghệ chuyên gia phục vụ Việt Nam & Khu vực APAC."
"Home Page","3","Label/Badge","Building Healthcare Partnerships in Vietnam & APAC","Kết nối hợp tác y tế tại Việt Nam và khu vực Châu Á – Thái Bình Dương"
"Home Page","4","H1 Heading","People-first Systems Integration Consultancy","Tư vấn tích hợp hệ thống với trọng tâm là con người"
"Home Page","5","Paragraph","Transform your operations with seamless technology integration that puts people at the center. Expert guidance for healthcare, beauty tech, and diverse industry sectors.","Chuyển đổi hoạt động doanh nghiệp với các giải pháp tích hợp công nghệ linh hoạt, lấy con người làm trung tâm. HealthSyncX mang đến chuyên môn sâu trong lĩnh vực y tế, công nghệ làm đẹp và nhiều ngành khác."
"Home Page","6","Link/Button","Free 30-Minute Strategy Session","Đăng ký 30 phút tư vấn miễn phí"
"Home Page","7","Link/Button","View All Services","Xem tất cả dịch vụ"
"Home Page","8","H2 Heading","Common Challenges Our Clients Face","Những thách thức mà khách hàng thường gặp"
"Home Page","9","H3 Heading","Disconnected Systems","Hệ thống rời rạc, thiếu kết nối"
"Home Page","10","Paragraph","Critical data trapped in legacy tools that don't communicate.","Dữ liệu quan trọng bị giới hạn bởi các hệ thống cũ, không thể chia sẻ qua lại."
"Home Page","11","H3 Heading","Unclear Return on Investment","Hiệu quả đầu tư khó đo lường"
"Home Page","12","Paragraph","Technology investments that look good on paper but never deliver measurable returns.","Đầu tư công nghệ trông có vẻ hiệu quả nhưng lại khó chứng minh được giá trị thực tế."
"Home Page","13","H3 Heading","Workflow Friction","Quy trình vận hành thiếu mượt mà"
"Home Page","14","Paragraph","New systems that disrupt how people actually work.","Hệ thống mới khiến nhân viên khó thích nghi và làm gián đoạn quy trình làm việc."
"Home Page","15","H3 Heading","Security & Compliance Risks","Rủi ro về bảo mật và tuân thủ quy định"
"Home Page","16","Paragraph","Mounting regulatory pressure, from international to local data rules.","Áp lực từ các quy định trong nước và quốc tế ngày càng cao."
"Home Page","17","H3 Heading","Resistance to Change","Tâm lý ngại thay đổi công nghệ"
"Home Page","18","Paragraph","Teams overwhelmed by too many tools, too little training.","Nhân viên bị quá tải vì có quá nhiều công cụ nhưng lại thiếu hướng dẫn và đào tạo."
"Home Page","19","H3 Heading","Vendor Lock-In","Phụ thuộc vào nhà cung cấp"
"Home Page","20","Paragraph","Locked into systems that limit flexibility and innovation.","Bị ràng buộc về hệ thống với nhà cung cấp cũ nên thiếu linh hoạt, khó đổi mới."
"Home Page","21","H2 Heading","Who We Support","Đối tượng khách hàng của chúng tôi"
"Home Page","22","Paragraph","Whether you're a small business taking your first steps toward digital transformation or a large enterprise managing complex multi-system environments, HealthSyncX helps you move forward with confidence.","Dù bạn là doanh nghiệp nhỏ mới bắt đầu hành trình chuyển đổi số hay tập đoàn lớn đang vận hành nhiều hệ thống phức tạp, HealthSyncX sẽ đồng hành giúp bạn tiến bước vững chắc."
"Home Page","23","H3 Heading","Small and Mid-Sized Businesses","Doanh nghiệp vừa và nhỏ"
"Home Page","24","Paragraph","You want modern tools that simplify operations without draining budgets or disrupting daily work.","Bạn cần các công cụ hiện đại giúp đơn giản hóa quy trình vận hành mà vẫn tiết kiệm chi phí và không ảnh hưởng đến công việc hàng ngày."
"Home Page","25","Paragraph","HealthSyncX delivers scalable, right-sized integration — connecting your devices, data, and workflows so you can compete like a larger player while staying agile and cost-efficient.","HealthSyncX mang đến giải pháp tích hợp phù hợp với quy mô của bạn — kết nối thiết bị, dữ liệu và quy trình để doanh nghiệp vận hành linh hoạt, hiệu quả và đủ sức cạnh tranh với các đối thủ lớn hơn."
"Home Page","26","H3 Heading","Large Enterprises","Doanh nghiệp lớn"
"Home Page","27","Paragraph","You face the opposite problems: too many systems, too much data, and teams that don't always align.","Doanh nghiệp của bạn thường gặp các vấn đề ngược lại: có quá nhiều hệ thống, dữ liệu phân tán và các bộ phận khó phối hợp đồng bộ."
"Home Page","28","Paragraph","We help unify legacy and modern platforms, improve interoperability across departments, and create visibility and compliance without slowing innovation.","Chúng tôi giúp đồng bộ hệ thống cũ và mới, tăng khả năng kết nối giữa các phòng ban, đảm bảo minh bạch và tuân thủ quy định mà vẫn giữ nhịp đổi mới."
"Home Page","29","H3 Heading","Industry Leaders and Innovators","Các lãnh đạo ngành và đơn vị sáng chế"
"Home Page","30","Paragraph","If you build the technologies others depend on — from medical devices to educational platforms — HealthSyncX can be your local integration and deployment partner in Vietnam and across the Asia-Pacific.","Nếu bạn phát triển các giải pháp công nghệ mà nhiều người cần — từ thiết bị y tế đến nền tảng giáo dục — HealthSyncX là đối tác tích hợp và triển khai đáng tin cậy của bạn tại Việt Nam và khu vực Châu Á – Thái Bình Dương."
"Home Page","31","Paragraph","We ensure your solutions reach real-world users efficiently, securely, and at scale.","Chúng tôi giúp giải pháp của bạn được triển khai đến người dùng thực tế một cách an toàn, hiệu quả và có thể mở rộng."
"Home Page","32","H2 Heading","Why Choose Us?","Vì sao chọn HealthSyncX?"
"Home Page","33","Paragraph","Integration that Delivers Measurable Results","Giải pháp tích hợp mang lại giá trị thực, có thể đo lường"
"Home Page","34","Paragraph","At HealthSyncX, integration isn't just about connecting systems — it's about unlocking measurable value across every part of your business:","Với HealthSyncX, tích hợp không chỉ là kết nối hệ thống — mà còn để mang lại giá trị thực ở nhiều mặt cho doanh nghiệp của bạn."
"Home Page","35","Text","3.2x","Đem lại lợi nhuận gấp"
"Home Page","36","Text","Return on Investment for each","3,2 lần"
"Home Page","37","Text","invested in interoperability and workflow integration.","cho mỗi"
"Home Page","38","Text","25 – 35%","1 USD"
"Home Page","39","Text","average operational cost reduction within 18 months.","đầu tư vào tích hợp và tối ưu quy trình."
"Home Page","40","Text","45%","Giảm trung bình"
"Home Page","41","Text","time savings in documentation and repetitive tasks.","25 – 35%"
"Home Page","42","Text","50%","chi phí vận hành chỉ sau 18 tháng."
"Home Page","43","Text","lower support costs by avoiding vendor lock-in.","Tiết kiệm"
"Home Page","44","Text","61.7%","45%"
"Home Page","45","Text","shorter hospital stays through optimized patient flow.","thời gian cho các công việc hành chính và thao tác lặp lại."
"Home Page","46","Text","75%","Cắt giảm"
"Home Page","47","Text","fewer no-shows with integrated communication tools.","50%"
"Home Page","48","Text","20%","chi phí hỗ trợ nhờ tránh bị phụ thuộc nhà cung cấp."
"Home Page","49","Text","higher profitability &","Rút ngắn"
"Home Page","50","Text","25%","61,7%"
"Home Page","51","Text","higher productivity in manufacturing and logistics.","thời gian nằm viện nhờ quy trình cho bệnh nhân được tối ưu hóa."
"Home Page","52","Text","Up to","Giảm"
"Home Page","53","Text","40%","75%"
"Home Page","54","Text","administrative cost reduction in education via workflow automation.","số ca hẹn bị bỏ lỡ nhờ hệ thống liên lạc được kết nối đồng bộ."
"Home Page","55","Text","annual savings per financial institution through connected systems.","Tăng"
"Home Page","56","Text","57%","20%"
"Home Page","57","Text","of hotels report revenue growth and","lợi nhuận và"
"Home Page","58","Text","93%","25%"
"Home Page","59","Text","improved operations after digital integration.","năng suất trong lĩnh vực sản xuất và cung ứng."
"Home Page","60","Paragraph","→ Data backed by independent industry studies across healthcare, manufacturing, education, finance, and hospitality sectors.","Giảm đến"
"Home Page","61","H2 Heading","What is People-First Systems Integration?","40%"
"Home Page","62","Paragraph","At HealthSyncX, we believe systems integration is more than just connecting technologies. True integration requires a holistic approach that puts people at the center of every solution.","chi phí hành chính trong giáo dục thông qua tự động hóa quy trình."
"Home Page","63","H3 Heading","Hardware & Devices","Mỗi tổ chức tài chính có thể tiết kiệm từ"
"Home Page","64","Paragraph","Medical devices, IoT sensors, equipment, and physical infrastructure","500.000 đến 1,3 triệu USD"
"Home Page","65","H3 Heading","Software & Digital Solutions","mỗi năm nhờ hệ thống được kết nối hiệu quả."
"Home Page","66","Paragraph","EMR/EHR systems, PACS, management platforms, and applications","57%"
"Home Page","67","H3 Heading","Networks & Cybersecurity","khách sạn ghi nhận doanh thu tăng và"
"Home Page","68","Paragraph","Secure connectivity, data protection, and infrastructure","93%"
"Home Page","69","H3 Heading","Workflows & Processes","cải thiện hiệu suất vận hành sau khi triển khai tích hợp số."
"Home Page","70","Paragraph","Optimized processes that fit organizational culture and needs","→ Các số liệu được chứng minh qua nghiên cứu độc lập trong các ngành y tế, sản xuất, giáo dục, tài chính và dịch vụ khách hàng."
"Home Page","71","H3 Heading","People - The Heart of Integration","Tích hợp hệ thống với trọng tâm là con người là gì?"
"Home Page","72","Paragraph","Technology adoption readiness, comprehensive user training, ongoing support, and change management","Tại HealthSyncX, chúng tôi tin rằng tích hợp hệ thống không chỉ đơn thuần là kết nối công nghệ. Sự tích hợp thực sự đòi hỏi một cách tiếp cận toàn diện, nơi con người luôn là trọng tâm của mọi giải pháp."
"Home Page","73","H3 Heading","Why People-First Matters","Phần cứng và thiết bị"
"Home Page","74","Paragraph","The most sophisticated technology integration will fail without considering the people who will use it.","Thiết bị y tế, cảm biến IoT, máy móc và hạ tầng vật lý"
"Home Page","75","Paragraph","HealthSyncX assesses user readiness, designs intuitive workflows, provides comprehensive training, and ensures ongoing support - because successful integration means successful adoption.","Phần mềm và giải pháp số"
"Home Page","76","H2 Heading","Our Core Services","Hệ thống EMR/EHR, PACS, nền tảng quản lý và các ứng dụng hỗ trợ"
"Home Page","77","Paragraph","People-centered consultancy services designed to help you navigate technology challenges and opportunities","Mạng và bảo mật"
"Home Page","78","H3 Heading","Holistic Systems Integration","Kết nối an toàn, bảo vệ dữ liệu và hạ tầng mạng đáng tin cậy"
"Home Page","79","Paragraph","Comprehensive integration planning that encompasses hardware, software, networks, workflows, AND people - ensuring adoption success through training and support.","Quy trình và luồng công việc"
"Home Page","80","Link/Button","Learn More →","Quy trình được tối ưu để phù hợp với văn hóa và nhu cầu thực tế của tổ chức"
"Home Page","81","H3 Heading","Workflow Optimization","Con người – Trái tim của quá trình tích hợp"
"Home Page","82","Paragraph","Process analysis and redesign that respects organizational culture while introducing efficiency improvements. We optimize for both technology and people.","Sự sẵn sàng cho việc áp dụng công nghệ, chương trình đào tạo toàn diện, hỗ trợ liên tục và quản lý thay đổi hiệu quả"
"Home Page","83","Link/Button","Learn More →","Vì sao việc lấy con người làm trọng tâm lại quan trọng?"
"Home Page","84","H3 Heading","Training & Capacity Building","Dù công nghệ có tiên tiến đến đâu, việc tích hợp sẽ thất bại nếu không tính đến những người trực tiếp sử dụng nó."
"Home Page","85","Paragraph","Comprehensive user training, adoption support, and capacity building to ensure your team can effectively use and maintain integrated systems.","HealthSyncX đánh giá mức độ sẵn sàng của người dùng, thiết kế quy trình trực quan, cung cấp đào tạo toàn diện và hỗ trợ liên tục – vì chúng tôi hiểu rằng tích hợp hiệu quả chỉ xảy ra khi người dùng thật sự chấp nhận và sử dụng thành công."
"Home Page","86","Link/Button","Learn More →","Các dịch vụ chính"
"Home Page","87","H3 Heading","Product Development","Dịch vụ tư vấn lấy con người làm trung tâm, giúp doanh nghiệp giải quyết thách thức và tận dụng cơ hội công nghệ."
"Home Page","88","Paragraph","Partnering with healthcare innovators to transform ideas into market-ready solutions through comprehensive product development support, from concept validation to market entry.","Tích hợp hệ thống toàn diện"
"Home Page","89","Link/Button","Learn More →","Lập kế hoạch tích hợp toàn diện bao gồm phần cứng, phần mềm, mạng lưới, quy trình và cả con người – đảm bảo việc triển khai hiệu quả nhờ đào tạo và hỗ trợ sát sao."
"Home Page","90","Label/Badge","Focus Area","Tìm hiểu thêm →"
"Home Page","91","H2 Heading","Healthcare Expertise","Tối ưu hóa quy trình"
"Home Page","92","Paragraph","With a background in medical imaging and healthcare technology, we bring specialized knowledge to integration challenges. Our people-first consultancy helps you navigate the complexities of medical device connectivity, patient data management, and regulatory compliance while ensuring clinical staff are prepared and supported.","Phân tích và cải tiến quy trình dựa trên văn hóa tổ chức, mang lại hiệu quả cao hơn. Chúng tôi thực hiện tối ưu hóa cho cả công nghệ lẫn yếu tố con người."
"Home Page","93","H4 Heading","Enhanced Patient Care","Tìm hiểu thêm →"
"Home Page","94","Paragraph","Streamline operations and improve efficiency while ensuring clinical staff can focus on patient care, not technology struggles.","Đào tạo và phát triển năng lực"
"Home Page","95","H4 Heading","Security & Compliance","Chương trình đào tạo người dùng toàn diện, hỗ trợ áp dụng thực tế và phát triển năng lực để đội ngũ của bạn sử dụng và vận hành hệ thống tích hợp một cách hiệu quả."
"Home Page","96","Paragraph","Ensure robust security and compliance with local and international laws, regulations, and industry standards.","Tìm hiểu thêm →"
"Home Page","97","H4 Heading","Digital Transformation","Phát triển sản phẩm"
"Home Page","98","Paragraph","Accelerate digital transformation with user-centered implementation that ensures clinical staff adoption and satisfaction.","Hợp tác với các chuyên gia đổi mới trong lĩnh vực y tế để biến ý tưởng thành sản phẩm sẵn sàng ra thị trường, với hỗ trợ trọn gói từ giai đoạn kiểm chứng ý tưởng đến thương mại hóa."
"Home Page","99","H2 Heading","Industries We Serve","Tìm hiểu thêm →"
"Home Page","100","Paragraph","Specialized healthcare expertise with proven solutions across diverse sectors","Lĩnh vực trọng điểm"
"Home Page","101","H3 Heading","Healthcare","Chuyên môn trong ngành y tế"
"Home Page","102","Paragraph","Specialized medical device integration, EMR/EHR systems, and clinical workflow optimization","Với nền tảng chuyên sâu về hình ảnh y khoa và công nghệ y tế, chúng tôi mang đến kiến thức thực tiễn để giải quyết các thách thức trong quá trình tích hợp. Cách tiếp cận “lấy con người làm trung tâm” giúp bạn xử lý tốt việc kết nối thiết bị, quản lý dữ liệu bệnh nhân và tuân thủ quy định, đồng thời bảo đảm đội ngũ y tế được hỗ trợ đầy đủ."
"Home Page","103","H3 Heading","Beauty Tech","Nâng cao chất lượng chăm sóc bệnh nhân"
"Home Page","104","Paragraph","Digital transformation and quality systems for beauty and personal care clinics","Đơn giản hóa quy trình vận hành và tăng hiệu quả làm việc, giúp nhân viên y tế tập trung hơn vào việc chăm sóc bệnh nhân thay vì phải loay hoay với công nghệ."
"Home Page","105","H3 Heading","Other Industries","Bảo mật và tuân thủ quy định"
"Home Page","106","Paragraph","Custom integration solutions for education, manufacturing, finance, retail, logistics, hospitality, and other diverse sectors","Đảm bảo hệ thống luôn an toàn và tuân thủ các tiêu chuẩn, quy định của ngành ở cả trong nước và quốc tế."
"Home Page","107","H2 Heading","Free 30-Minute Strategy Session","Chuyển đổi số"
"Home Page","108","Paragraph","Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.","Đẩy nhanh quá trình chuyển đổi số với phương pháp triển khai lấy người dùng làm trung tâm, giúp đội ngũ y tế dễ dàng tiếp nhận và hài lòng khi sử dụng."
"Home Page","109","Link/Button","Book Your Free Session","Các lĩnh vực chúng tôi phục vụ"
"Home Page","110","Paragraph","","Kinh nghiệm chuyên sâu trong lĩnh vực y tế cùng các giải pháp đã được kiểm chứng ở nhiều ngành nghề khác nhau"
"Home Page","111","H3 Heading","","Y tế"
"Home Page","112","Paragraph","","Tích hợp thiết bị y tế chuyên dụng, hệ thống EMR/EHR và tối ưu hóa quy trình lâm sàng"
"Home Page","113","H3 Heading","","Công nghệ làm đẹp"
"Home Page","114","Paragraph","","Giải pháp chuyển đổi số và hệ thống quản lý chất lượng cho các phòng khám và trung tâm chăm sóc sắc đẹp"
"Home Page","115","H3 Heading","","Các ngành khác"
"Home Page","116","Paragraph","","Giải pháp tích hợp tùy chỉnh cho các ngành giáo dục, sản xuất, tài chính, bán lẻ, cung ứng, khách sạn và nhiều lĩnh vực khác"
"Home Page","117","H2 Heading","","Đăng ký 30 phút tư vấn miễn phí"
"Home Page","118","Paragraph","","Cùng chuyên gia của chúng tôi trao đổi về những thách thức trong việc tích hợp công nghệ của bạn. Nhận phản hồi nhanh và gợi ý giải pháp thực tế – hoàn toàn miễn phí, không ràng buộc."
"Home Page","119","Link/Button","","Đặt lịch tư vấn miễn phí"
"About Us","SEO-1","Page Title","About Us","Về chúng tôi"
"About Us","SEO-2","Meta Description","Learn about HealthSyncX","Tìm hiểu về tầm nhìn, sứ mệnh và câu chuyện của HealthSyncX. Xây dựng tương lai thông qua tư vấn chuyên gia về tích hợp hệ thống và hợp tác."
"About Us","3","H2 Heading","Our Vision","Tầm nhìn"
"About Us","4","Paragraph","To create a world where healthcare ecosystems are seamlessly connected — where technology, data, and human collaboration work in harmony to deliver smarter, more efficient, more equitable, and compassionate care for everyone.","Xây dựng một thế giới nơi các hệ sinh thái y tế được kết nối liền mạch — nơi công nghệ, dữ liệu và con người phối hợp hài hòa để mang lại dịch vụ chăm sóc sức khỏe thông minh, hiệu quả, công bằng, và nhân văn hơn cho tất cả mọi người."
"About Us","5","H2 Heading","Our Mission","Sứ mệnh"
"About Us","6","Paragraph","To bridge the gaps in today's fragmented healthcare ecosystem by synchronizing technologies, systems, workflows, and people — creating connected, intelligent, and human-centered solutions that make healthcare more efficient, collaborative, and accessible across Asia-Pacific and beyond.","Kết nối các mảnh ghép rời rạc trong hệ sinh thái y tế ngày nay bằng cách đồng bộ hóa các công nghệ, hệ thống, quy trình và con người — tạo ra các giải pháp thông minh, kết nối và lấy con người làm trọng tâm, giúp việc chăm sóc sức khỏe trở nên hiệu quả, hợp tác suôn sẻ, và dễ tiếp cận hơn tại khu vực Châu Á – Thái Bình Dương và trên toàn cầu."
"About Us","7","H2 Heading","About HealthSyncX","Về HealthSyncX"
"About Us","8","Paragraph","HealthSyncX Co., Ltd was founded to bridge the gaps in today's fragmented healthcare ecosystem. We believe that true progress in healthcare begins when technology, systems, workflows, and people work in harmony — creating seamless connections that enable better decisions, stronger collaboration, and more compassionate care.","HealthSyncX được thành lập với sứ mệnh thu hẹp khoảng cách trong hệ sinh thái y tế phân mảnh hiện nay. Chúng tôi tin rằng sự tiến bộ thực sự trong y tế bắt đầu khi công nghệ, hệ thống, quy trình và con người hoạt động hài hòa với nhau — tạo sự kết nối liền mạch để giúp đưa ra những quyết định tốt hơn, tăng cường hợp tác và mang lại sự chăm sóc sức khỏe nhân văn hơn."
"About Us","9","Paragraph","At HealthSyncX, we focus on transforming complexity into clarity. Our approach integrates engineering expertise, digital innovation, and human-centered design to help organizations align their technologies, data, and workflows. Whether you are a healthcare provider, research institution, or enterprise seeking to modernize your operations, we tailor solutions that fit your unique goals and realities.","Cùng HealthSyncX, chúng tôi giúp chuyển mọi rắc rối phức tạp sang cách giải quyết rõ ràng. Bằng cách kết hợp chuyên môn kỹ thuật, đổi mới số và tư duy thiết kế lấy con người làm trung tâm, chúng tôi giúp các tổ chức đồng bộ công nghệ, dữ liệu và quy trình vận hành. Dù bạn là bệnh viện, tổ chức nghiên cứu hay doanh nghiệp đang muốn hiện đại hóa hoạt động, HealthSyncX sẽ tùy chỉnh giải pháp phù hợp với mục tiêu và thực tế của bạn."
"About Us","10","Paragraph","Our work spans technology integration, digital transformation, research collaboration, and professional training — always guided by the belief that innovation must serve people first. We partner with hospitals, universities, and industry innovators across Asia-Pacific to co-create sustainable and secure ecosystems that enhance quality, efficiency, and trust.","Công việc của chúng tôi bao gồm tích hợp công nghệ, chuyển đổi số, hợp tác nghiên cứu và đào tạo chuyên nghiệp — cùng niềm tin rằng sự đổi mới phải phục vụ con người trước tiên mới có thể đạt giá trị hiệu quả. Chúng tôi hợp tác cùng các bệnh viện, trường đại học và các nhà sáng tạo đổi mới trong khu vực Châu Á – Thái Bình Dương để cùng xây dựng hệ sinh thái y tế bền vững, an toàn và đáng tin cậy."
"About Us","11","Text","""Synchronizing technology, systems, workflows, and people — for better healthcare everywhere.""","""Đồng bộ hóa công nghệ, hệ thống, quy trình và con người — để nâng cao chăm sóc sức khỏe ở mọi nơi."""
"About Us","12","H2 Heading","HealthSyncX's Core Values","Giá trị cốt lõi của HealthSyncX"
"About Us","13","H3 Heading","Mission-Driven","Tập trung vào sứ mệnh"
"About Us","14","Paragraph","Dedicated to transforming operations through seamless technology integration","Cam kết nâng cao hiệu quả hoạt động thông qua tích hợp công nghệ linh hoạt và liền mạch."
"About Us","15","H3 Heading","Excellence","Chất lượng xuất sắc"
"About Us","16","Paragraph","Committed to delivering the highest quality solutions and services","Nỗ lực mang đến các giải pháp và dịch vụ chất lượng cao nhất."
"About Us","17","H3 Heading","Client-Focused","Khách hàng là trọng tâm"
"About Us","18","Paragraph","Building lasting partnerships through trust and collaboration","Xây dựng mối quan hệ hợp tác lâu dài dựa trên sự tin cậy và đồng hành cùng phát triển."
"About Us","19","H3 Heading","Innovation","Luôn sáng tạo đổi mới"
"About Us","20","Paragraph","Leveraging proven and emerging technologies to solve complex challenges","Ứng dụng những công nghệ đã được kiểm chứng tính hiệu quả và công nghệ mới để giải quyết những thách thức phức tạp đặc thù theo chuyên ngành."
"About Us","21","H2 Heading","Meet Our Founder","Gặp gỡ người sáng lập"
"About Us","22","H3 Heading","Long 'Leo' Phi Dang","Đặng Phi Long (Leo)"
"About Us","23","Paragraph","Founder & CEO","Người sáng lập & CEO"
"About Us","24","Label/Badge","Oxford","Oxford"
"About Us","25","Paragraph","MSc Biomedical Engineering","Thạc sĩ Kỹ thuật Y sinh"
"About Us","26","Paragraph","University of Oxford, England","Đại học Oxford, Anh"
"About Us","27","Label/Badge","UM","UM"
"About Us","28","Paragraph","MEng Telecommunication Engineering","Thạc sĩ Kỹ thuật Viễn thông"
"About Us","29","Paragraph","University of Melbourne, Australia","Đại học Melbourne, Úc"
"About Us","30","Label/Badge","UCLA","UCLA"
"About Us","31","Paragraph","BSc Electrical Engineering","Cử nhân Kỹ thuật Điện-Điện tử"
"About Us","32","Paragraph","University of California - Los Angeles, USA","Đại học California - Los Angeles, Mỹ"
"About Us","33","Label/Badge","ASQA","ASQA"
"About Us","34","Paragraph","Nationally Certified Trainer","Giảng viên được chứng nhận quốc gia"
"About Us","35","Paragraph","Australian Skills Quality Authority (ASQA)","Cơ quan Chất lượng Kỹ năng Úc (ASQA)"
"About Us","36","Label/Badge","UIUC","UIUC"
"About Us","37","Paragraph","Strategic Leadership and Management","Chứng chỉ lãnh đạo và quản lý chiến lược"
"About Us","38","Paragraph","University of Illinois, USA","Đại học Illinois, Mỹ"
"About Us","39","Label/Badge","ICL","ICL"
"About Us","40","Paragraph","Digital Health Specialization","Chứng chỉ chuyên môn y tế số"
"About Us","41","Paragraph","Imperial College London, England","Imperial College London, Anh"
"About Us","42","Label/Badge","Stanford","Stanford"
"About Us","43","Paragraph","AI in Healthcare Specialization","Chứng chỉ chuyên môn AI cho y tế"
"About Us","44","Paragraph","Stanford University, USA","Đại học Stanford, Mỹ"
"About Us","45","Label/Badge","JHU","JHU"
"About Us","46","Paragraph","AI for Cybersecurity Specialization","Chứng chỉ chuyên môn AI cho an ninh mạng"
"About Us","47","Paragraph","Johns Hopkins University, USA","Đại học Johns Hopkins, Mỹ"
"About Us","48","Link/Button","Connect","Kết nối"
"About Us","49","Text","""What if the real cure for healthcare's complexity lies not in more new technologies, but in connecting what already exists — current technologies, systems, workflows, and people?""","“Nếu giải pháp thật sự cho các vấn đề nan giải trong y tế không nằm ở việc phát triển thêm các công nghệ mới, mà ở việc kết nối những gì đã có — công nghệ hiện tại, các hệ thống, quy trình và con người — thì chúng ta cần làm gì?”"
"About Us","50","Paragraph","As a globally experienced engineer, researcher, and technology leader with over 20 years of professional and academic experience across Asia, Oceania, Europe, and North America, I've seen how fragmented healthcare systems affect not only efficiency but also human well-being.","Với tư cách là một kỹ sư, nghiên cứu viên, và là người lãnh đạo công nghệ, cùng hơn 20 năm kinh nghiệm làm việc và đào tạo tại Châu Á, Châu Đại Dương, Châu Âu và Bắc Mỹ, tôi đã chứng kiến các ảnh hưởng tiêu cực của hệ thống y tế bị phân mảnh hiện nay đến hiệu quả hoạt động và chất lượng chăm sóc sức khỏe cho mọi người."
"About Us","51","Paragraph","Having lived and worked in Vietnam, Australia, New Zealand, the United Kingdom, and the United States, I bring a uniquely international perspective on how science, technology, and people can harmonize to improve healthcare outcomes.","Qua quá trình sống và làm việc tại Việt Nam, Úc, New Zealand, Anh, và Mỹ, tôi nhận định rằng sự kết hợp hài hòa giữa khoa học, công nghệ và con người có thể cải thiện chất lượng y tế một cách mạnh mẽ."
"About Us","52","Paragraph","HealthSyncX Co., Ltd was founded to bridge the gaps that exist across today's fragmented healthcare ecosystem. It was born from a simple yet powerful vision —","Công ty TNHH HealthSyncX được thành lập để giúp lấp các khoảng trống đang tồn tại trong hệ sinh thái y tế phân mảnh ngày nay. HealthSyncX ra đời từ một tầm nhìn đơn giản nhưng quan trọng —"
"About Us","53","Text","to synchronize technology, systems, workflows, and people for better healthcare everywhere","giúp đồng bộ hóa công nghệ, hệ thống, quy trình và con người để mang lại dịch vụ y tế tốt hơn cho mọi nơi"
"About Us","54","Paragraph","For me, integration means more than linking devices or software; it's about connecting hearts, minds, and expertise across disciplines and borders to create healthcare solutions that are intelligent, collaborative, and human-centered.","Đối với tôi, tích hợp không chỉ là liên kết các thiết bị hoặc phần mềm; mà còn là việc kết nối trái tim, khối óc ở các chuyên môn đa ngành và xuyên biên giới để tạo ra các giải pháp y tế thông minh, tăng cường hợp tác và lấy con người làm trung tâm."
"About Us","55","Paragraph","My work combines deep technical knowledge, strategic leadership, and a holistic understanding of the healthcare ecosystem — enabling HealthSyncX to design innovations that are not only cutting-edge but also practical, sustainable, and meaningful to the people who rely on them.","Công việc của tôi kết hợp kiến thức kỹ thuật chuyên sâu, lãnh đạo chiến lược và sự hiểu biết toàn diện về hệ sinh thái y tế — giúp HealthSyncX thiết kế và triển khai các sáng tạo đổi mới không chỉ tiên tiến mà còn thực tế, bền vững và có ý nghĩa cho mọi người."
"About Us","56","H4 Heading","Core Expertise","Chuyên môn"
"About Us","57","Paragraph","Systems Integration","Tích hợp hệ thống"
"About Us","58","Paragraph","Medical Imaging","Hình ảnh y khoa"
"About Us","59","Paragraph","Healthcare IT","Công nghệ thông tin y tế"
"About Us","60","Paragraph","Technical Consultancy","Tư vấn kỹ thuật"
"About Us","61","Paragraph","Research Collaboration","Hợp tác nghiên cứu"
